,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,incongruent_ntrials,incongruent_ncorrect,incongruent_rt_mean,incongruent_rt_mean_outrmvd,incongruent_rt_outrmvd,incongruent_dprime,incongruent_criterion,incongruent_N,incongruent_S,incongruent_H,incongruent_F,congruent_ntrials,congruent_ncorrect,congruent_rt_mean,congruent_rt_mean_outrmvd,congruent_rt_outrmvd,congruent_dprime,congruent_criterion,congruent_N,congruent_S,congruent_H,congruent_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,group
4420,112.0,101.0,1355.43564356,1294.16326531,3.0,2.58703342602,0.0516499211667,56.0,56.0,50.0,5.0,56.0,55.0,1368.83636364,1288.22641509,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,56.0,46.0,1339.41304348,1301.15555556,1.0,1.85920913162,0.137965958067,28.0,28.0,22.0,4.0,-9.0,-2.05791473065,12.9291404612,0.0
4421,112.0,112.0,1189.45535714,1044.66055046,3.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,919.357142857,872.462962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1459.55357143,1244.51851852,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,372.055555556,0.0
4422,112.0,110.0,865.409090909,823.130841121,3.0,4.20033098569,4.4408920985e-16,56.0,56.0,55.0,1.0,56.0,55.0,890.218181818,871.148148148,1.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,56.0,55.0,840.6,798.018518519,1.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,0.0,-8.881784197e-16,-73.1296296296,0.0
4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4424,112.0,112.0,955.678571429,911.405405405,1.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1110.80357143,1024.27272727,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,800.553571429,776.314814815,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-247.957912458,1.0
4425,112.0,112.0,1177.32142857,1108.24770642,3.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1249.69642857,1197.50909091,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1104.94642857,1050.65454545,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-146.854545455,0.0
4426,112.0,105.0,1179.00952381,1024.6039604,4.0,3.07640295504,0.0729676848336,56.0,56.0,52.0,3.0,56.0,49.0,1663.55102041,1573.20833333,1.0,2.30943731572,0.0871481339826,28.0,28.0,24.0,3.0,56.0,56.0,755.035714286,720.962962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,7.0,1.91932422733,-852.24537037,0.0
4427,112.0,101.0,1653.37623762,1548.88888889,2.0,2.58703342602,-0.0516499211667,56.0,56.0,51.0,6.0,56.0,46.0,1906.89130435,1772.82222222,1.0,1.85920913162,-0.137965958067,28.0,28.0,24.0,6.0,56.0,55.0,1441.34545455,1337.22641509,2.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,9.0,2.05791473065,-435.595807128,1.0
4428,112.0,112.0,1445.91071429,1225.22018349,3.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1244.39285714,1115.0,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1647.42857143,1337.48148148,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,222.481481481,0.0
4429,112.0,110.0,1273.53636364,1212.01851852,2.0,4.20033098569,4.4408920985e-16,56.0,56.0,55.0,1.0,56.0,54.0,1359.16666667,1278.75471698,1.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,56.0,56.0,1190.96428571,1110.05555556,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,2.0,0.623275361577,-168.699161426,1.0
