,proband_id,test_name,phase,trialn,matrix,array,ans,rsp,rt
10,4365,matrix_reasoning,test,9,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M010.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M010a.png,4,4,3052
11,4365,matrix_reasoning,test,10,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M011.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M011a.png,4,4,2824
12,4365,matrix_reasoning,test,11,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M012.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M012a.png,1,1,2720
13,4365,matrix_reasoning,test,12,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M013.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M013a.png,2,2,2473
14,4365,matrix_reasoning,test,13,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M014.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M014a.png,0,0,5879
15,4365,matrix_reasoning,test,14,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M015.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M015a.png,1,1,2881
16,4365,matrix_reasoning,test,15,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M016.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M016a.png,3,3,2872
17,4365,matrix_reasoning,test,16,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M017.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M017a.png,2,4,3343
18,4365,matrix_reasoning,test,17,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M018.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M018a.png,0,0,2525
19,4365,matrix_reasoning,test,18,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M019.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M019a.png,0,0,7185
20,4365,matrix_reasoning,test,19,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M020.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M020a.png,3,3,10086
21,4365,matrix_reasoning,test,20,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M021.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M021a.png,4,4,2781
22,4365,matrix_reasoning,test,21,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M022.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M022a.png,4,4,6071
23,4365,matrix_reasoning,test,22,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M023.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M023a.png,1,4,3471
24,4365,matrix_reasoning,test,23,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M024.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M024a.png,1,1,6736
25,4365,matrix_reasoning,test,24,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M025.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M025a.png,0,1,5871
26,4365,matrix_reasoning,test,25,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M026.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M026a.png,4,4,8769
27,4365,matrix_reasoning,test,26,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M027.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M027a.png,3,2,11074
28,4365,matrix_reasoning,test,27,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M028.png,c:\Charlie\charlie\stimuli\visual\matrix_reasoning\M028a.png,2,2,6682
