,proband_id,test_name,trialn,rsp
13,F104,cvlt2_recall,0,giraffe
14,F104,cvlt2_recall,0,cow
15,F104,cvlt2_recall,0,squirrel
0,J108,cvlt2_recall,0,truck
1,J108,cvlt2_recall,0,boat
2,J108,cvlt2_recall,0,subway
3,J108,cvlt2_recall,0,motorcycle
4,J108,cvlt2_recall,0,cabbage
5,J108,cvlt2_recall,0,onion
6,J108,cvlt2_recall,0,bookcase
7,J108,cvlt2_recall,0,spinach
8,J108,cvlt2_recall,0,celery
9,J108,cvlt2_recall,0,giraffe
10,J108,cvlt2_recall,0,zebra
11,J108,cvlt2_recall,0,cow
12,J108,cvlt2_recall,0,squirrel
13,J108,cvlt2_recall,0,desk
14,J108,cvlt2_recall,0,lamp
15,J108,cvlt2_recall,0,cabinet
16,J108,cvlt2_recall,0,bookcase
0,K106,cvlt2_recall,0,squirrel
1,K106,cvlt2_recall,0,cabbage
2,K106,cvlt2_recall,0,truck
3,K106,cvlt2_recall,0,spinach
4,K106,cvlt2_recall,0,bookcase
5,K106,cvlt2_recall,0,giraffe
6,K106,cvlt2_recall,0,onion
7,K106,cvlt2_recall,0,motorcycle
8,K106,cvlt2_recall,0,boat
9,K106,cvlt2_recall,0,desk
10,K106,cvlt2_recall,0,cow
11,K106,cvlt2_recall,0,zebra
12,K106,cvlt2_recall,0,motorcycle
13,K106,cvlt2_recall,0,lamp
14,K106,cvlt2_recall,0,bookcase
15,K106,cvlt2_recall,0,celery
16,K106,cvlt2_recall,0,intrusion
17,K106,cvlt2_recall,0,cow
0,KK107,cvlt2_recall,0,truck
1,KK107,cvlt2_recall,0,boat
2,KK107,cvlt2_recall,0,subway
3,KK107,cvlt2_recall,0,intrusion
4,KK107,cvlt2_recall,0,motorcycle
5,KK107,cvlt2_recall,0,giraffe
6,KK107,cvlt2_recall,0,zebra
7,KK107,cvlt2_recall,0,squirrel
8,KK107,cvlt2_recall,0,cow
9,KK107,cvlt2_recall,0,spinach
10,KK107,cvlt2_recall,0,cabbage
11,KK107,cvlt2_recall,0,celery
12,KK107,cvlt2_recall,0,onion
13,KK107,cvlt2_recall,0,cabinet
14,KK107,cvlt2_recall,0,desk
15,KK107,cvlt2_recall,0,lamp
16,KK107,cvlt2_recall,0,bookcase
0,L105,cvlt2_recall,0,truck
1,L105,cvlt2_recall,0,boat
2,L105,cvlt2_recall,0,subway
3,L105,cvlt2_recall,0,bookcase
4,L105,cvlt2_recall,0,lamp
5,L105,cvlt2_recall,0,desk
6,L105,cvlt2_recall,0,spinach
7,L105,cvlt2_recall,0,cabbage
8,L105,cvlt2_recall,0,celery
9,L105,cvlt2_recall,0,onion
10,L105,cvlt2_recall,0,zebra
11,L105,cvlt2_recall,0,giraffe
0,S103,cvlt2_recall,0,squirrel
1,S103,cvlt2_recall,0,cow
2,S103,cvlt2_recall,0,giraffe
3,S103,cvlt2_recall,0,zebra
4,S103,cvlt2_recall,0,celery
5,S103,cvlt2_recall,0,cabbage
6,S103,cvlt2_recall,0,spinach
7,S103,cvlt2_recall,0,onion
8,S103,cvlt2_recall,0,boat
9,S103,cvlt2_recall,0,subway
10,S103,cvlt2_recall,0,truck
11,S103,cvlt2_recall,0,bookcase
12,S103,cvlt2_recall,0,cabinet
13,S103,cvlt2_recall,0,lamp
14,S103,cvlt2_recall,0,intrusion
15,S103,cvlt2_recall,0,motorcycle
