proband_id,test_name,phase,trialn,f,ans,rsp,rt
4346,face_memory,test,28,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,Yes,Yes,1480
4346,face_memory,test,29,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis19.bmp,No,Yes,940
4346,face_memory,test,30,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,Yes,Yes,1560
4346,face_memory,test,31,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,Yes,Yes,1000
4346,face_memory,test,32,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,Yes,Yes,1150
4346,face_memory,test,33,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,Yes,Yes,1010
4346,face_memory,test,34,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis10.bmp,No,No,740
4346,face_memory,test,35,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis08.bmp,No,No,1210
4346,face_memory,test,36,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,Yes,No,1220
4346,face_memory,test,37,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,Yes,Yes,900
4346,face_memory,test,38,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis03.bmp,No,Yes,1020
4346,face_memory,test,39,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,Yes,Yes,940
4365,face_memory,learning,0,c:\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,,n/a,0
4365,face_memory,learning,1,c:\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,,n/a,0
4365,face_memory,learning,2,c:\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,,n/a,0
4365,face_memory,learning,3,c:\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,,n/a,0
4365,face_memory,learning,4,c:\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,,n/a,0
4365,face_memory,learning,5,c:\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,,n/a,0
4365,face_memory,learning,6,c:\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,,n/a,0
4365,face_memory,learning,7,c:\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,,n/a,0
4365,face_memory,learning,8,c:\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,,n/a,0
4365,face_memory,learning,9,c:\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,,n/a,0
4365,face_memory,learning,10,c:\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,,n/a,0
4365,face_memory,learning,11,c:\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,,n/a,0
4365,face_memory,learning,12,c:\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,,n/a,0
4365,face_memory,learning,13,c:\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,,n/a,0
4365,face_memory,learning,14,c:\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,,n/a,0
4365,face_memory,learning,15,c:\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,,n/a,0
4365,face_memory,learning,16,c:\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,,n/a,0
4365,face_memory,learning,17,c:\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,,n/a,0
4365,face_memory,learning,18,c:\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,,n/a,0
4365,face_memory,learning,19,c:\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,,n/a,0
4365,face_memory,test,0,c:\Charlie\charlie\stimuli\visual\face_memory\idis04.bmp,No,No,1370
4365,face_memory,test,1,c:\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,Yes,No,2840
4365,face_memory,test,2,c:\Charlie\charlie\stimuli\visual\face_memory\idis01.bmp,No,No,2100
4365,face_memory,test,3,c:\Charlie\charlie\stimuli\visual\face_memory\idis05.bmp,No,No,1461
4365,face_memory,test,4,c:\Charlie\charlie\stimuli\visual\face_memory\idis16.bmp,No,No,730
4365,face_memory,test,5,c:\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,Yes,Yes,830
4365,face_memory,test,6,c:\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,Yes,Yes,800
