proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
4384,orientation,first,3,249,-155,-163,283,0,1070,7046
4384,orientation,first,4,144,171,260,315,0,1460,8512
4384,orientation,first,5,292,-24,-346,-300,0,1250,9768
4384,orientation,first,6,-136,-184,174,-307,0,3480,13254
4384,orientation,first,7,-314,-191,209,-166,0,580,15059
4384,orientation,first,8,76,54,-282,128,0,2211,17275
4384,orientation,first,9,-192,168,124,-343,0,1290,19840
4384,orientation,last,0,-31,-224,233,131,0,2060,2069
4384,orientation,last,1,-273,-68,310,-249,0,1120,3197
4384,orientation,last,2,178,207,-198,-147,0,1470,4674
4384,orientation,last,3,40,-55,-163,283,0,1620,6301
4384,orientation,last,4,-241,-116,260,315,0,1250,7558
4384,orientation,last,5,-95,-43,-346,-300,0,900,8465
4384,orientation,last,6,287,199,174,-307,0,1630,10102
4384,orientation,last,7,124,321,209,-166,0,1370,11479
4384,orientation,last,8,-123,133,-282,128,0,1480,12966
4384,orientation,last,9,138,284,124,-343,0,1541,14515
4385,orientation,first,0,44,-336,233,131,0,2940,2948
4385,orientation,first,1,291,-190,310,-249,0,2711,8215
4385,orientation,first,2,174,158,-198,-147,0,1770,9991
4385,orientation,first,3,249,-155,-163,283,0,7220,17217
4385,orientation,first,4,144,171,260,315,0,1150,18373
4385,orientation,first,5,292,-24,-346,-300,0,1780,20158
4385,orientation,first,6,-136,-184,174,-307,0,1530,21693
4385,orientation,first,7,-314,-191,209,-166,0,1100,22798
4385,orientation,first,8,76,54,-282,128,0,1591,24394
4385,orientation,first,9,-192,168,124,-343,0,1200,25599
4385,orientation,last,0,-31,-224,233,131,0,1190,1197
4385,orientation,last,1,-273,-68,310,-249,0,940,2144
4385,orientation,last,2,178,207,-198,-147,0,1050,3201
4385,orientation,last,3,40,-55,-163,283,0,1300,4508
4385,orientation,last,4,-241,-116,260,315,0,1610,6125
4385,orientation,last,5,-95,-43,-346,-300,0,1130,7259
4385,orientation,last,6,287,199,174,-307,0,1390,8656
4385,orientation,last,7,124,321,209,-166,0,1130,9793
4385,orientation,last,8,-123,133,-282,128,0,1390,11190
4385,orientation,last,9,138,284,124,-343,0,1150,12348
4386,orientation,first,0,44,-336,233,131,0,1400,1408
4386,orientation,first,1,291,-190,310,-249,0,1150,2564
4386,orientation,first,2,174,158,-198,-147,0,1040,3610
4386,orientation,first,3,249,-155,-163,283,0,1210,4826
4386,orientation,first,4,144,171,260,315,0,1051,5883
4386,orientation,first,5,292,-24,-346,-300,0,1100,6989
4386,orientation,first,6,-136,-184,174,-307,0,1810,10135
4386,orientation,first,7,-314,-191,209,-166,0,1010,11150
4386,orientation,first,8,76,54,-282,128,0,480,12745
4386,orientation,first,9,-192,168,124,-343,0,1080,13830
4386,orientation,last,0,-31,-224,233,131,0,990,999
4386,orientation,last,1,-273,-68,310,-249,0,970,1977
4386,orientation,last,2,178,207,-198,-147,0,1150,3134
4386,orientation,last,3,40,-55,-163,283,0,970,4111
4386,orientation,last,4,-241,-116,260,315,0,950,5064
4386,orientation,last,5,-95,-43,-346,-300,0,740,5811
4386,orientation,last,6,287,199,174,-307,0,820,6638
4386,orientation,last,7,124,321,209,-166,0,490,7916
4386,orientation,last,8,-123,133,-282,128,0,361,9194
4386,orientation,last,9,138,284,124,-343,0,1210,10412
4387,orientation,first,0,44,-336,233,131,0,2850,2858
4387,orientation,first,1,291,-190,310,-249,0,870,3734
4387,orientation,first,2,174,158,-198,-147,0,1381,5121
