proband_id,test_name,phase,trialn,matches,ans,symbol1,symbol2,symbol3,rsp,rt
4460,ipcpts,test,122,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4460,ipcpts,test,123,1,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,124,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,583
4460,ipcpts,test,125,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,126,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,127,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,128,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,129,2,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,130,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,456
4460,ipcpts,test,131,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
4460,ipcpts,test,132,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
