proband_id,test_name,phase,trialn,cong,f,ans,rsp,rt
4424,stroop,test,40,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\14-Congruent.png,Right,Right,670
4424,stroop,test,41,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\33-Congruent.png,Left,Left,680
4424,stroop,test,42,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\13-Incongruent.png,Left,Left,1110
4424,stroop,test,43,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\55-Incongruent.png,Right,Right,690
4424,stroop,test,44,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\54-Congruent.png,Left,Left,670
4424,stroop,test,45,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\8-Congruent.png,Right,Right,960
4424,stroop,test,46,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\13-Congruent.png,Right,Right,850
4424,stroop,test,47,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\40-Congruent.png,Left,Left,630
4424,stroop,test,48,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\9-Incongruent.png,Left,Left,800
4424,stroop,test,49,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\50-Congruent.png,Left,Left,810
4424,stroop,test,50,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\5-Congruent.png,Right,Right,710
4424,stroop,test,51,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\5-Incongruent.png,Left,Left,730
4424,stroop,test,52,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\53-Incongruent.png,Right,Right,720
4424,stroop,test,53,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\1-Incongruent.png,Left,Left,610
4424,stroop,test,54,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\28-Congruent.png,Right,Right,610
4424,stroop,test,55,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\34-Incongruent.png,Right,Right,960
4424,stroop,test,56,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\20-Incongruent.png,Left,Left,690
4424,stroop,test,57,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\38-Incongruent.png,Right,Right,961
4424,stroop,test,58,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\32-Incongruent.png,Right,Right,780
4424,stroop,test,59,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\9-Congruent.png,Right,Right,700
4424,stroop,test,60,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\55-Congruent.png,Left,Left,720
4424,stroop,test,61,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\33-Incongruent.png,Right,Right,1850
4424,stroop,test,62,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\49-Incongruent.png,Right,Right,1270
4424,stroop,test,63,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\4-Congruent.png,Right,Right,890
4424,stroop,test,64,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\6-Congruent.png,Right,Right,780
4424,stroop,test,65,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\48-Congruent.png,Left,Left,730
4424,stroop,test,66,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\52-Congruent.png,Left,Left,600
4424,stroop,test,67,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\51-Congruent.png,Left,Left,660
4424,stroop,test,68,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\16-Congruent.png,Right,Right,670
4424,stroop,test,69,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\24-Congruent.png,Right,Right,720
4424,stroop,test,70,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\41-Incongruent.png,Right,Right,930
4424,stroop,test,71,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\48-Incongruent.png,Right,Right,720
4424,stroop,test,72,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\4-Incongruent.png,Left,Left,800
4424,stroop,test,73,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\54-Incongruent.png,Right,Right,900
4424,stroop,test,74,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\39-Incongruent.png,Right,Right,1131
4424,stroop,test,75,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\56-Congruent.png,Left,Left,660
4424,stroop,test,76,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\46-Incongruent.png,Right,Right,1070
4424,stroop,test,77,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\22-Congruent.png,Right,Right,700
4424,stroop,test,78,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\21-Incongruent.png,Left,Left,5870
4424,stroop,test,79,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\37-Incongruent.png,Right,Right,800
4424,stroop,test,80,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\2-Incongruent.png,Left,Left,1110
4424,stroop,test,81,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\21-Congruent.png,Right,Right,1010
4424,stroop,test,82,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\7-Incongruent.png,Left,Left,740
4424,stroop,test,83,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\20-Congruent.png,Right,Right,810
4424,stroop,test,84,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\15-Congruent.png,Right,Right,720
4424,stroop,test,85,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\26-Congruent.png,Right,Right,810
4424,stroop,test,86,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\16-Incongruent.png,Left,Left,1171
4424,stroop,test,87,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\50-Incongruent.png,Right,Right,850
4424,stroop,test,88,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\41-Congruent.png,Left,Left,1360
4424,stroop,test,89,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\25-Congruent.png,Right,Right,740
4424,stroop,test,90,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\27-Congruent.png,Right,Right,640
4424,stroop,test,91,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\18-Incongruent.png,Left,Left,840
4424,stroop,test,92,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\30-Incongruent.png,Right,Right,990
4424,stroop,test,93,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\44-Congruent.png,Left,Left,1550
4424,stroop,test,94,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\37-Congruent.png,Left,Left,1020
4424,stroop,test,95,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\11-Incongruent.png,Left,Left,880
4424,stroop,test,96,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\29-Incongruent.png,Right,Right,1490
4424,stroop,test,97,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\3-Incongruent.png,Left,Left,690
4424,stroop,test,98,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\1-Congruent.png,Right,Right,870
4424,stroop,test,99,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\52-Incongruent.png,Right,Right,1180
4424,stroop,test,100,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\14-Incongruent.png,Left,Left,750
4424,stroop,test,101,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\47-Congruent.png,Left,Left,690
4424,stroop,test,102,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\19-Incongruent.png,Left,Left,681
4424,stroop,test,103,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\11-Congruent.png,Right,Right,770
4424,stroop,test,104,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\22-Incongruent.png,Left,Left,840
4424,stroop,test,105,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\7-Congruent.png,Right,Right,1230
4424,stroop,test,106,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\53-Congruent.png,Left,Left,770
4424,stroop,test,107,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\32-Congruent.png,Left,Left,670
4424,stroop,test,108,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\45-Incongruent.png,Right,Right,570
4424,stroop,test,109,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\36-Congruent.png,Left,Left,570
4424,stroop,test,110,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\51-Incongruent.png,Right,Right,670
4424,stroop,test,111,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\stroop\18-Congruent.png,Right,Right,770
4425,stroop,practice,0,n/a,c:\Charlie\charlie\stimuli\visual\stroop\prac_1.png,Right,Right,27511
4425,stroop,practice,1,n/a,c:\Charlie\charlie\stimuli\visual\stroop\prac_2.png,Left,Left,2140
4425,stroop,practice,2,n/a,c:\Charlie\charlie\stimuli\visual\stroop\prac_3.png,Right,Right,1530
4425,stroop,practice,3,n/a,c:\Charlie\charlie\stimuli\visual\stroop\prac_4.png,Right,Right,1420
4425,stroop,test,0,Incongruent,c:\Charlie\charlie\stimuli\visual\stroop\6-Incongruent.png,Left,Left,4120
